,property_id,Description
0,C68850746,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. Facilities extend to indoor squash courts and meditation gardens."
1,H68850564,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. Residents have access to rooftop lounges and outdoor yoga spaces."
2,J68850120,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. Residents have access to rooftop lounges and outdoor yoga spaces."
3,K68839960,"Located in a well-planned township, this flat offers access to high-class facilities such as a temperature-controlled swimming pool, indoor badminton court, and open-air amphitheater. The project includes solar-powered lighting, landscaped jogging trails, and a fully automated car parking system. Residents also enjoy access to a healthcare center, cafeteria, and 24/7 concierge services. It also includes a dedicated cycling track and community library."
4,E68833932,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. Residents have access to rooftop lounges and outdoor yoga spaces."
5,F68828122,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. The society is equipped with EV charging stations and smart home integrations."
6,S68825922,"The apartment offers a luxury lifestyle with amenities like a rooftop garden, barbecue area, infinity-edge pool, and a fully stocked fitness center. The society provides high-tech security, dedicated maintenance staff, and a community co-working space. Indoor play areas for kids, pet-friendly zones, and spa facilities are also available. The complex ensures a sustainable environment with waste management and solar water heating. Facilities extend to indoor squash courts and meditation gardens."
7,K68824240,"Located in a well-planned township, this flat offers access to high-class facilities such as a temperature-controlled swimming pool, indoor badminton court, and open-air amphitheater. The project includes solar-powered lighting, landscaped jogging trails, and a fully automated car parking system. Residents also enjoy access to a healthcare center, cafeteria, and 24/7 concierge services. It also provides daycare facilities and dedicated coworking hubs for professionals."
8,O68818592,"This flat comes with modern facilities like a modular kitchen, spacious wardrobes, and a smart lighting system. The complex offers a well-maintained park, yoga deck, and library. Security features include biometric entry and video door phones. Additional amenities include a convenience store within the premises, a mini-theatre for entertainment, and ample guest parking spaces. The society is equipped with EV charging stations and smart home integrations."
9,P68810298,"Located in a well-planned township, this flat offers access to high-class facilities such as a temperature-controlled swimming pool, indoor badminton court, and open-air amphitheater. The project includes solar-powered lighting, landscaped jogging trails, and a fully automated car parking system. Residents also enjoy access to a healthcare center, cafeteria, and 24/7 concierge services. Facilities extend to indoor squash courts and meditation gardens."
